Doc:transcript-mike-huckabees-remarks-on-the-iran-nuclear-deal-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:211.0, List:[211]
Doc:transcript-mike-huckabees-remarks-on-transgender-individuals-in-the-military-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:212.0, List:[212]
Doc:transcript-marco-rubios-remarks-on-abortion-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:213.0, List:[213]
Doc:transcript-mike-huckabees-remarks-on-abortion-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:214.0, List:[214]
Doc:transcript-jeb-bushs-remarks-on-guns-at-the-cnn-republican-presidential-debate, AVG:215.0, List:[215]
Doc:transcript-carly-fiorinas-remarks-on-russia-at-the-cnn-republican-presidential-debate, AVG:216.0, List:[216]
Doc:transcript-donald-trumps-remarks-on-russias-support-for-assads-regime-in-syria-at-the-cnn-republican-presidential-debate, AVG:217.0, List:[217]
Doc:transcript-bernie-sanderss-remarks-on-establishment-politics-at-the-cnn-democratic-presidential-debate, AVG:218.0, List:[218]
Doc:transcript-jeb-bushs-remarks-on-anchor-babies-in-mcallen-texas, AVG:219.0, List:[219]
Doc:transcript-john-kasichs-closing-statement-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:220.0, List:[220]
Doc:transcript-ted-cruzs-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:221.0, List:[221]
Doc:transcript-jeb-bushs-remarks-on-iraq-war-isis-at-the-cnn-republican-presidential-debate, AVG:222.0, List:[222]
Doc:transcript-jeb-bushs-remarks-on-marijuana-at-the-cnn-republican-presidential-debate, AVG:223.0, List:[223]
Doc:transcript-carly-fiorinas-remarks-on-drug-addiction-at-the-cnn-republican-presidential-debate, AVG:224.0, List:[224]
Doc:transcript-john-kasichs-remarks-on-medicaid-expansion-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:225.0, List:[225]
Doc:transcript-mike-huckabees-remarks-on-tax-reform-at-the-cnn-republican-presidential-debate, AVG:226.0, List:[226]
Doc:transcript-hillary-clintons-remarks-on-college-affordability-at-the-cnn-democratic-presidential-debate, AVG:227.0, List:[227]
Doc:transcript-jeb-bushs-remarks-on-supreme-court-justice-john-roberts-at-the-cnn-republican-presidential-debate, AVG:228.0, List:[228]
Doc:transcript-jeb-bushs-remarks-on-the-iraq-war-and-isis-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:229.0, List:[229]
Doc:transcript-hillary-clintons-remarks-on-climate-change-at-the-cnn-democratic-presidential-debate, AVG:230.0, List:[230]
Doc:transcript-donald-trumps-remarks-at-the-iowa-state-fair-on-aug-15-2015, AVG:231.0, List:[231]
Doc:transcript-rand-pauls-remarks-on-donald-trump-at-the-cnn-republican-presidential-debate, AVG:232.0, List:[232]
Doc:transcript-jeb-bushs-remarks-on-defunding-planned-parenthood-at-the-cnn-republican-presidential-debate, AVG:233.0, List:[233]
Doc:transcript-chris-christies-remarks-on-political-outsiders-at-the-cnn-republican-presidential-debate, AVG:234.0, List:[234]
Doc:transcript-john-kasichs-remarks-on-same-sex-marriage-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:235.0, List:[235]
Doc:transcript-hillary-clintons-remarks-on-capitalism-at-the-cnn-democratic-presidential-debate, AVG:236.0, List:[236]
Doc:transcript-marco-rubios-remarks-on-russia-at-the-cnn-republican-presidential-debate, AVG:237.0, List:[237]
Doc:transcript-donald-trumps-remarks-on-iranian-general-soleimani-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:238.0, List:[238]
Doc:transcript-rand-pauls-remarks-on-foreign-policy-at-the-cnn-republican-presidential-debate, AVG:239.0, List:[239]
Doc:transcript-donald-trumps-remarks-on-illegal-immigration-on-meet-the-press, AVG:240.0, List:[240]
Doc:transcript-jeb-bushs-response-on-his-electability-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:241.0, List:[241]
